"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"True","1.0","0","162.6667","False","0.0469","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","77.0","0","320.5","False","0.0336","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","166.3333","False","0.0395","5241","0.2","0","175","5241","0.2","0","175","5241","0.2","0","175"
"False","0.0","0","488.0","False","0.0314","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"False","0.0","3","488.0","False","0.0331","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"False","0.0","0","109.2","False","0.0462","118","0.2","0","0","118","0.2","0","0","118","0.2","0","0"
"True","1.0","0","132.0","False","0.0956","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"False","0.0","0","201.6667","False","0.0159","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","1","69.5","False","0.0323","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","0","488.0","False","0.0522","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"False","0.0","0","66.25","False","0.0437","62","0.2","0","0","62","0.2","0","0","62","0.2","0","0"
"True","1.0","0","244.5","False","0.0965","1140","0.2","0","34","1140","0.2","0","34","1140","0.2","0","34"
"False","0.0","0","244.5","False","0.0403","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","1","260.0","False","0.0485","10682","0.2","0","148","10682","0.2","0","148","10682","0.2","0","148"
"True","1.0","0","488.0","False","0.097","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","77.0","0","320.5","False","0.0336","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","53.4","False","0.0556","62","0.2","0","0","62","0.2","0","0","62","0.2","0","0"
"True","2.0","1","132.5","False","0.0744","93","0.2","0","0","93","0.2","0","0","93","0.2","0","0"
"True","4.0","2","488.0","False","0.0449","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","2.0","0","260.0","False","0.0365","638","0.2","0","4","638","0.2","0","4","638","0.2","0","4"
"False","0.0","0","230.6667","False","0.0225","541","0.2","0","22","541","0.2","0","22","541","0.2","0","22"
"False","0.0","24","0.0","False","0.0533","27758","0.2","0","127","27758","0.2","0","127","27758","0.2","0","127"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","False","0.0263","274","0.2","0","9","274","0.2","0","9","274","0.2","0","9"
"True","1.0","2","104.5","False","0.0506","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","77.0","0","320.5","False","0.0455","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","2.0","0","488.0","False","0.0513","327","0.2","0","5","327","0.2","0","5","327","0.2","0","5"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","244.5","False","0.0375","416","0.2","1","5","416","0.2","1","5","416","0.2","1","5"
"True","1.0","0","56.3333","False","0.037","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","0","201.6667","False","0.0159","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","87.3333","False","0.0603","1946","0.2","0","63","1946","0.2","0","63","1946","0.2","0","63"
"False","0.0","0","129.0","False","0.0556","25","0.2","0","3","25","0.2","0","3","25","0.2","0","3"
"False","0.0","2","320.5","False","0.0458","346","0.2","0","13","346","0.2","0","13","346","0.2","0","13"
"True","1.0","1","206.5","False","0.0429","346","0.2","0","13","346","0.2","0","13","346","0.2","0","13"
"True","1.0","1","260.0","False","0.0714","3901","0.2","0","94","3901","0.2","0","94","3901","0.2","0","94"
"True","2.0","1","257.0","False","0.0593","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","195.0","False","0.0145","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","488.0","False","0.0451","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","0","260.0","False","0.0446","25","0.2","0","0","25","0.2","0","0","25","0.2","0","0"
"False","0.0","1","488.0","False","0.0541","2022","0.2","0","65","2022","0.2","0","65","2022","0.2","0","65"
"False","0.0","4","245.5","False","0.0866","5717","0.2","0","124","5717","0.2","0","124","5717","0.2","0","124"
"True","77.0","0","320.5","False","0.0448","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","164.6667","False","0.0316","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"False","0.0","0","201.6667","False","0.0159","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","65.75","False","0.0642","1416","0.2","0","15","1416","0.2","0","15","1416","0.2","0","15"
"True","77.0","0","320.5","False","0.0455","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","260.0","False","0.0588","40","0.2","0","0","40","0.2","0","0","40","0.2","0","0"
"False","0.0","0","122.75","False","0.0517","12","0.2","0","0","12","0.2","0","0","12","0.2","0","0"
"True","1.0","0","131.0","False","0.0581","309","0.2","0","5","309","0.2","0","5","309","0.2","0","5"
"False","0.0","0","260.0","False","0.0521","1298","0.2","0","13","1298","0.2","0","13","1298","0.2","0","13"
"False","0.0","1","169.25","False","0.0316","273","0.2","1","8","273","0.2","1","8","273","0.2","1","8"
"True","1.0","0","260.0","False","0.0556","284","0.2","0","30","284","0.2","0","30","284","0.2","0","30"
"False","0.0","0","163.3333","False","0.0382","33","0.2","0","22","33","0.2","0","22","33","0.2","0","22"
"True","1.0","1","488.0","False","0.0373","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","77.0","0","320.5","False","0.0448","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","True","0.0559","638","0.2","1","5","638","0.2","1","5","638","0.2","1","5"
"False","0.0","0","260.0","False","0.0526","1298","0.2","0","13","1298","0.2","0","13","1298","0.2","0","13"
